danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,edm,latin,pop,r&b,rap,rock,predicted_value
0.727,0.811,0.0,-11.547,0.0,0.0385,0.245,1.22e-05,0.192,0.808,97.098,247907.0,0,0,0,1,0,0,0.0
0.567,0.954,5.0,-3.859,0.0,0.11,3.22e-05,0.000741,0.29,0.684,126.97,220670.0,0,0,0,0,0,1,0.0
0.81,0.716,8.0,-2.3,1.0,0.0694,0.0478,0.0,0.0678,0.689,96.029,158480.0,0,1,0,0,0,0,1.0
0.698,0.631,9.0,-9.244,1.0,0.396,0.254,0.0,0.241,0.578,83.084,201290.0,0,0,0,0,1,0,0.0
0.479,0.675,9.0,-4.893,0.0,0.0413,0.0319,0.00536,0.128,0.189,145.022,257045.0,0,0,1,0,0,0,0.0
0.797,0.86,10.0,-4.38,0.0,0.0413,0.0312,0.0137,0.334,0.192,124.033,166452.0,1,0,0,0,0,0,1.0
0.779,0.288,0.0,-11.875,1.0,0.0551,0.816,0.903,0.108,0.164,134.992,163500.0,0,0,0,0,1,0,0.0
0.769,0.71,2.0,-6.355,0.0,0.033,0.0928,0.00636,0.297,0.352,129.985,392687.0,1,0,0,0,0,0,0.0
0.435,0.82,2.0,-4.694,1.0,0.0453,0.000217,1.71e-05,0.0884,0.146,152.051,228947.0,0,0,0,0,0,1,0.0
0.8,0.869,5.0,-4.3,0.0,0.0596,0.00144,0.82,0.036,0.237,123.987,423871.0,0,1,0,0,0,0,0.0
0.591,0.959,4.0,-5.644,0.0,0.215,0.00583,0.624,0.428,0.346,127.99,186929.0,1,0,0,0,0,0,0.0
0.383,0.637,3.0,-6.993,1.0,0.0703,0.0722,0.0,0.368,0.0827,177.913,260773.0,0,0,1,0,0,0,0.0
0.63,0.526,7.0,-9.121,1.0,0.0389,0.316,0.00538,0.0747,0.61,145.271,215333.0,0,0,1,0,0,0,0.0
0.638,0.947,0.0,-2.074,1.0,0.0333,0.0859,0.0,0.0883,0.658,96.045,222213.0,0,0,1,0,0,0,0.0
0.761,0.606,9.0,-4.686,1.0,0.0376,0.652,0.0,0.281,0.956,90.028,298451.0,0,1,0,0,0,0,1.0
0.817,0.911,0.0,-2.153,1.0,0.0455,0.187,0.00173,0.42,0.34,119.989,116000.0,0,0,0,0,1,0,0.0
0.446,0.917,0.0,-3.765,0.0,0.0513,7.53e-05,0.0039,0.247,0.685,147.171,215712.0,0,0,0,0,0,1,0.0
0.753,0.837,8.0,-4.006,1.0,0.052,0.00809,0.45,0.0615,0.735,128.0,300000.0,0,0,1,0,0,0,0.0
